2, 12
45, 3
77, 1
111, 5
399, 10
459, 5
607, 1
797, 16
868, 19
907, 20
1142, 9
1197, 15
1427, 8
1472, 14
1629, 13
1721, 20
1890, 11
1978, 8
2210, 16
2217, 14
2425, 17
2534, 9
2699, 10
2744, 5
2767, 1
2838, 3
2859, 4
2904, 18
3105, 20
3296, 17
3335, 11
3348, 17
3356, 16
3650, 14
3718, 14
3757, 12
3823, 2
3829, 17
3939, 18
3996, 9
4098, 15
4179, 18
4245, 9
4402, 16
4425, 4
4434, 8
4446, 5
4549, 13
4599, 18
4606, 6
5010, 4
5017, 11
5160, 9
5177, 19
5200, 3
5313, 8
5363, 13
5452, 20
5457, 20
5623, 15
5672, 17
5682, 6
5948, 11
6024, 2
6134, 18
6168, 16
6179, 13
6301, 7
6339, 11
6409, 11
6558, 18
6620, 13
6657, 5
6804, 5
6813, 14
6856, 11
6880, 17
7062, 16
7161, 11
7167, 2
7205, 9
7260, 5
7427, 14
7539, 2
7847, 5
7909, 7
7939, 16
8086, 7
8133, 1
8138, 7
8230, 7
8315, 1
8356, 12
8373, 16
8394, 15
8412, 16
8438, 16
8494, 17
8604, 11
8664, 1
8673, 12
8685, 12
8729, 4
8736, 18
8858, 16
8950, 16
8998, 7
9016, 17
9035, 19
9267, 8
9272, 8
9306, 16
9459, 1
9470, 19
9580, 18
9685, 14
9712, 14
9738, 6
9936, 12
10033, 1
10221, 15
10248, 7
10287, 12
10385, 3
10455, 5
10702, 14
10795, 1
10942, 4
10984, 6
10989, 16
11059, 12
11064, 17
11196, 5
11371, 7
11591, 12
11604, 5
11824, 10
11891, 16
11979, 9
12237, 15
12244, 12
12341, 7
12527, 11
12555, 3
12575, 9
12591, 18
12670, 17
12714, 5
12794, 11
12828, 7
12985, 9
13258, 8
13278, 12
13348, 9
13449, 4
13573, 13
13642, 18
13778, 18
13805, 11
13915, 11
13988, 17
14016, 5
14163, 10
14278, 12
14340, 5
14346, 12
14426, 6
14439, 2
14518, 13
14591, 4
14603, 4
14710, 6
14783, 10
14864, 8
15071, 20
15084, 6
15318, 4
15322, 2
15348, 4
15362, 11
15395, 19
